resource,bytes,organisations,endpoints,start-date,end-date
01d5a64d3e497b22f73a7b8df99a797850d66c66f226aab41d5dfdf0f2817113,105574866,government-organisation:D303,3239201775cab1f0d0d240cfd5cfe90b5ffd81d51ecce09f38da039950909fcb,2021-12-11,
0e6f64c2d40a661a0fd4a2440433df480cacdc57f86d84bfd52d27b6960218a3,223650109,government-organisation:D303,372060f99be12123dfc701557105d0d78110e039a3830147e6b0e40c21b814fa,2021-01-22,2021-01-29
30af23e6b6355660317da72f975e7fe6722ef15f57953e59c4bf4a0b0b9f6022,192643268,government-organisation:D303,e27e0067033e8b8bf15203b640842df449d2e421c638dd57827b3e487ea98774,2021-12-21,2021-12-22
7dfb5df7974b9ee3fca7ea6def6417130b1db734755669d1515978f42212f584,174053325,government-organisation:D303,90a69901f522c945c21dc066f7767552888443031e331738ef16f4e7494de7fc,2021-12-11,
a94fb0e839546680d3314c0f6bb12d78bddd5d73528dd64bd8f4be5d72cdfb23,172943743,government-organisation:D303,a863cdc4053b0e9fa7d71b52771dd55a94ee97f780efcd9040c4696b8f5635a6,2021-12-11,
aac324529ce451f4c8c9c6fe862780f689a14aa0b4f445a836f50c091618b754,223650109,government-organisation:D303,372060f99be12123dfc701557105d0d78110e039a3830147e6b0e40c21b814fa,2021-01-30,2021-02-03
ad57c3138a63028fb9a60870e5a79d475dd57bb3e8f6fb9b0103ded51145a71a,232383326,government-organisation:D303,aab98deed00509e4e1b4e6bc407ab8116f9ac399b35b5c51aec4401eab8966aa,2021-12-11,
b58951812696042e8ab1deeab79e839aeb0f6e1c3d4f1146a88549c55716ef25,192643298,government-organisation:D303,e27e0067033e8b8bf15203b640842df449d2e421c638dd57827b3e487ea98774,2021-12-11,
bd921c9e4af17cbd6b5b9157178b4cf44945856d6d684ca6845b2d9f973ae902,223649915,government-organisation:D303,372060f99be12123dfc701557105d0d78110e039a3830147e6b0e40c21b814fa,2021-02-06,2021-08-17
fd689f1adfdaf3e4aa24d706a5e7193d46b8fde573b2d4a130ceeb872aa7d149,228306724,government-organisation:D303,a356bc4a708513f9bcc6bbdd888b643dd8f47ae2da5683a6c39d4c0ab2f22cbd,2021-04-15,
